repo_name_with_owner,stars,total_pr,total_pr_reviews,total_repository_files,analysis_time,number_characters_description,number_participants,total_comments_pr,total_rows_added,total_rows_removed,grand_total_rows_added_and_removed,index
minimaxir/big-list-of-naughty-strings,45841,124,1,10,9130.4575,0,3,0,10051,9549,505928,157
golang-standards/project-layout,45783,108,56,41,567.9544444444444,0,2,1,5600,602,146111,158
iamkun/dayjs,45728,870,41,20,0.03166666666666667,44,3,1,1534,310,50468,159
FiloSottile/mkcert,45652,109,70,13,0.03361111111111111,0,1,0,562,36273,346407,160
jesseduffield/lazygit,45407,1456,140,24,117.64416666666666,174,3,4,4506,13216,233842,161
iperov/DeepFaceLab,45291,124,5,20,87.35444444444444,229,2,0,451,470,21347,162
charlax/professional-programming,45193,57,8,10,0.5627777777777778,0,2,1,484,150,17095,163
ziishaned/learn-regex,45124,159,37,6,6.225833333333333,984,2,0,2440,173,81138,164
BurntSushi/ripgrep,44821,800,47,24,702.6952777777777,435,2,3,531,431,24843,165
FuelLabs/fuels-rs,44718,775,393,14,0.2727777777777778,31,3,0,11622,7981,579857,166
v2ray/v2ray-core,44688,605,21,34,3.566666666666667,0,2,1,23968,130593,5978950,167
FuelLabs/fuels-ts,44659,1260,201,39,14.914166666666667,228,3,5,9759,4139,372342,168
marktext/marktext,44604,1023,250,21,71.49555555555555,137,2,1,8587,8338,453543,169
vuejs/core,44499,3917,125,29,64.59055555555555,105,3,2,5963,4379,421333,170
justjavac/awesome-wechat-weapp,44117,304,3,2,12.322777777777778,13,2,1,60,39,2527,171
karan/Projects,44093,68,5,6,218.95583333333335,0,1,0,305,1442,29094,172
topjohnwu/Magisk,44070,2205,22,21,76.54583333333333,148,2,0,3431,3124,157179,173
typescript-cheatsheets/react,43956,462,89,18,233.6002777777778,316,2,4,1190,1464,50701,174
facebookresearch/segment-anything,43946,63,4,14,0.011666666666666667,341,2,1,7896,242,73910,175
android/architecture-samples,43819,413,16,17,0.52,307,4,6,4621,4285,221744,176
rclone/rclone,43740,2313,6,32,0.8430555555555556,420,2,1,1202,1140,57181,177
dair-ai/Prompt-Engineering-Guide,43710,311,3,20,611.7830555555555,47,2,2,2121,38,44004,178
wagoodman/dive,43518,180,49,19,11.856111111111112,189,1,0,2035,1144,100667,179
kamranahmedse/design-patterns-for-humans,43359,73,8,2,1680.7525,132,2,1,823,538,15738,180
Avik-Jain/100-Days-Of-ML-Code,43272,25,2,12,2.5730555555555554,0,1,0,629,67,19809,181
meilisearch/meilisearch,43271,1884,21,39,0.5338888888888889,0,1,0,14219,4863,501198,182
aymericdamien/TensorFlow-Examples,43197,113,40,9,5.552777777777778,45,2,0,27026,422,693639,183
agalwood/Motrix,43193,264,49,25,0.18305555555555555,283,1,0,2278,1240,120882,184
parcel-bundler/parcel,43108,3019,256,37,110.2761111111111,11,2,0,5669,5067,148709,185
gorhill/uBlock,42981,382,1,19,2.607222222222222,141,2,9,975,897,45789,186
romkatv/powerlevel10k,42812,228,21,14,0.32666666666666666,472,2,5,500,219,14680,187
laurent22/joplin,42765,3988,12,36,12.737777777777778,36,3,5,3478,1037,106872,188
Z4nzu/hackingtool,42694,96,57,15,14.1,16,1,1,285,186,15843,189
vercel/hyper,42636,4005,7,32,0.9841666666666666,0,3,5,1203,1091,49690,190
pmndrs/zustand,42407,738,112,19,60.22083333333333,62,6,7,5236,4486,209904,191
firstcontributions/first-contributions,42400,82289,7,11,0.5719444444444445,0,2,1,52,2,1353,192
nocodb/nocodb,42249,3592,7,22,4.187777777777778,0,2,0,14945,3826,640597,193
withastro/astro,42231,6389,308,32,40.12833333333333,1443,2,1,3515,2431,184126,194
microsoft/generative-ai-for-beginners,42186,264,75,41,41.0425,4,3,2,5397,242,173414,195
go-gitea/gitea,41834,17253,295,65,5.091388888888889,78,4,3,7383,6339,497713,196
google/zx,41599,278,129,16,2737.5575,410,5,13,5011,11281,292086,197
k88hudson/git-flight-rules,41597,284,21,14,47.15027777777778,216,3,7,5104,2670,264404,198
jakevdp/PythonDataScienceHandbook,41435,101,2,12,0.08138888888888889,20,1,0,97133,13991,5362903,199
poteto/hiring-without-whiteboards,41410,1408,3,15,0.4897222222222222,0,2,0,43,47,2735,200
